Page URL,Error Text,Suggestion(s),Message,Entity Type
https://sheetal.net/,FatShe,"Fat She, FatS he",Possible spelling mistake found.,ORG
https://sheetal.net/,SKYWING,"SKEWING, SKYING, SKYPING",Possible spelling mistake found.,
https://sheetal.net/,FatShe,"Fat She, FatS he",Possible spelling mistake found.,ORG
https://sheetal.net/,FatShe,"Fat She, FatS he",Possible spelling mistake found.,ORG
https://sheetal.net/,a,an,"Use “an” instead of ‘a’ if the following word starts with a vowel sound, e.g. ‘an article’, ‘an hour’.",
https://sheetal.net/,FatShe,"Fat She, FatS he",Possible spelling mistake found.,ORG
https://sheetal.net/,",",",","Put a space after the comma, but not before the comma.",
https://sheetal.net/,",",",","Put a space after the comma, but not before the comma.",
https://sheetal.net/,2 nd,2nd,Did you mean “2nd”?,CARDINAL
https://sheetal.net/,Kapil,"Kail, Kamil",Possible spelling mistake found.,ORG
https://sheetal.net/,Vihar,"Vicar, Bihar, Vidar",Possible spelling mistake found.,ORG
https://sheetal.net/packers-and-movers-bangalore.php,SKYWING,"SKEWING, SKYING, SKYPING",Possible spelling mistake found.,
https://sheetal.net/packers-and-movers-bangalore.php,Debu,"Debut, Debt, Debug, Debs, Zebu, DBU, DEB, DEU, EBU, Deb",Possible spelling mistake found.,
https://sheetal.net/packers-and-movers-bangalore.php,required,require,The modal verb ‘would’ requires the verb’s base form.,
https://sheetal.net/packers-and-movers-bangalore.php,an,and,Did you mean “and”?,
https://sheetal.net/packers-and-movers-bangalore.php,sets,"sets', set's",An apostrophe may be missing.,
https://sheetal.net/packers-and-movers-bangalore.php,outsource,"outsourced, been outsourcing, to outsource",The inflection of the verb “outsource” seems to be incorrect here.,
https://sheetal.net/packers-and-movers-bangalore.php,and,", and",Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,
https://sheetal.net/packers-and-movers-bangalore.php,and,", and",Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,
https://sheetal.net/packers-and-movers-bangalore.php,and,", and",Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,
https://sheetal.net/packers-and-movers-bangalore.php,recommend to choose,recommend choosing,The verb ‘recommend’ is used with the gerund form.,
https://sheetal.net/packers-and-movers-bangalore.php,, ,It seems like there are too many consecutive spaces here.,
https://sheetal.net/packers-and-movers-bangalore.php,is,"are, was, were","With the plural noun ‘movers’, the verb inflection ‘is’ is not correct.",
https://sheetal.net/packers-and-movers-bangalore.php,I,"Furthermore, I, Likewise, I, Not only that, but I",Three successive sentences begin with the same word. Consider rewording the sentence or use a thesaurus to find a synonym.,
https://sheetal.net/packers-and-movers-bangalore.php,, ,It seems like there are too many consecutive spaces here.,
https://sheetal.net/packers-and-movers-bangalore.php,"""",No suggestion,"Unpaired symbol: ‘""’ seems to be missing",
https://sheetal.net/packers-and-movers-bangalore.php,, ,It seems like there are too many consecutive spaces here.,
https://sheetal.net/packers-and-movers-bangalore.php,“,"“ ,  “",Don’t put a space on both sides of a quote symbol.,
https://sheetal.net/packers-and-movers-bangalore.php,“,No suggestion,Unpaired symbol: ‘”’ seems to be missing,
https://sheetal.net/packers-and-movers-bangalore.php,and,", and",Use a comma before ‘and’ if it connects two independent clauses (unless they are closely connected and short).,
https://sheetal.net/packers-and-movers-bangalore.php,, ,It seems like there are too many consecutive spaces here.,
https://sheetal.net/packers-and-movers-bangalore.php,is,"are, was, were","With the plural noun ‘movers’, the verb inflection ‘is’ is not correct.",
https://sheetal.net/packers-and-movers-bangalore.php,ensure,ensures,"After ‘it’, use the third-person verb form “ensures”.",
https://sheetal.net/packers-and-movers-bangalore.php,so,", so",Use a comma before ‘so’ if it connects two independent clauses (unless they are closely connected and short).,
https://sheetal.net/Best-Packers-Movers.php,FatShe,"Fat She, FatS he",Possible spelling mistake found.,ORG
https://sheetal.net/Best-Packers-Movers.php,SKYWING,"SKEWING, SKYING, SKYPING",Possible spelling mistake found.,
https://sheetal.net/Best-Packers-Movers.php,FatShe,"Fat She, FatS he",Possible spelling mistake found.,ORG
https://sheetal.net/Best-Packers-Movers.php,FatShe,"Fat She, FatS he",Possible spelling mistake found.,ORG
https://sheetal.net/Best-Packers-Movers.php,house hold,household,The word “household” is normally spelled as one word.,
https://sheetal.net/Best-Packers-Movers.php,pune,"Pune, June, punk, pure, tune, pine, pun, punt, dune, pane, puns, rune, prune, puke, puny, pone, puce, pule, PNE, PUN, Pine, Pyne, lune, one, due, fine, line, use, run, sure, done, gone, nine, pub, put, rule, runs, gun, guns, huge, none, page, phone, plane, wine, zone, Duke, Pope, bone, fun, fund, gene, lane, mine, panel, pole, pull, push, sun, sung, tone, tube, Anne, Jane, Lane, aunt, cone, cure, duke, hung, hunt, lung, pace, pale, pan, pen, pin, pink, pipe, pond, pope, pose, pound, prone, pulse, pump, puts, sunk, tunes, Gene, Hunt, Kane, Luke, Page, Penn, Pete, cane, cube, cue, dunes, funk, fuse, lone, lure, nun, nuns, pie, pile, pins, pubs, pulp, punch, purse, spine, spun, sue, tuned, vine, Jun, Jung, Juno, Luna, Payne, Pike, Pole, René, SUNY, Sue, Tyne, UNC, cute, hue, junk, lute, mule, mute, ounce, pans, pause, pence, pens, pike, pines, plume, plunge, pony, pore, puck, punter, purge, rude, rue, runes, ruse, sine, tuna, CUNY, Dane, Duane, Hume, Hung, Jude, Lund, Muse, PNC, PNG, PNP, Pace, Paine, Peña, Ponce, Pound, Puget, Punch, Rene, Sung, Suns, UE, Una, acne, bun, bunk, dine, dunk, hone, jute, mane, muse, panes, pave, ping, pint, poke, pong, puff, punks, punts, pups, putt, pyre, rung, sane, tuner, vane, wane, Arne, CNE, Cuneo, Luce, Ouse, PGE, PNA, PNL, PNS, PSE, PTFE, PUC, Pepe, Pugh, Pyle, Yule, Zane, bane, buns, bunt, dude, fume, luge, pent, pruned, punted, pup, pupa, pupae, purer, purine, pus, suns, Burne, Lunt, Lupe, NNE, PNM, Pate, Pele, Pena, Punic, Rube, UNB, UNEF, Zuni, cine, dunce, dupe, gunge, hunk, lunge, luxe, mung, nuke, opine, pant, pounce, prunes, pug, puma, tine, tung, Aube, Pusey, bung, duns, lube, paned, pang, pare, pate, peen, pined, punky, puree, purl, purr, purée, pâté, runt, spunk, Apure, Duse, dyne, gunk, lunes, piney, prude, pugs, puss, tuns, yule, fane, piny, plunk, puked, punned, erne, funs, panne, peke, pend, ponce, pruner, pukes, punnet, spume, Junes, pones, ANE, AUE, AUN, Aude, BNE, BUE, Bene, Bute, CCNE, CPNE, CUPE, Duna, Dunn, Dunne, ENE, EUN, Eure, FNE, GUE, Gunn, HNE, Hue, Hun, Huns, ICNE, INE, JNE, Jute, Kun, Kure, Kühne, LNE, Line, Lunn, Lünen, MNE, MVNE, Munn, Mure, NE, NUPE, Ne, Nunes, Nuñez, Núñez, ONE, PAE, PAN, PBN, PCE, PCIE, PCIe, PCN, PE, PEE, PEN, PENS, PFE, PFN, PFNL, PG&E, PGCE, PGN, PHE, PIE, PIME, PIN, PIRE, PLE, PLN, PME, PMN, PNB, PND, PNEC, PNF, PNH, PNI, PNK, PNN, PNNS, PNR, PNT, PNUE, PNV, PNW, POE, POKE, PON, PPE, PPN, PPRE, PPTE, PRE, PRN, PSN, PSNA, PSQE, PTE, PU, PUA, PUAS, PUBG, PUBP, PUD, PUF, PUG, PUL, PUM, PUP, PUPD, PUQ, PUR, PUS, PUV, PXE, Pan, Pape, Pelé, Pen, Pence, Peng, Pines, Poe, Pond, Pu, Puente, Pula, Puri, Purse, Pus, Pyke, QNE, Que, Quine, RNE, RUN, Rude, SNE, SRNE, SUSE, Sun, TNE, TUN, UAE, UFE, UGE, UN, UND, UNF, UNH, UNI, UNL, UNM, UNO, UNR, UNT, UNV, UPE, URE, USE, Ute, Uwe, VNE, WINE, bine, dun, dung, eyne, kine, nude, nunc, né, orné, pe, pee, penes, penne, pisé, plié, pons, pre, pubes, puces, puisne, puled, pules, punic, punier, punker, punner, puses, putz, pwn, pwned, pwns, père, sone, suni, tun, uni, zine, Pink, Puma, Vue",Possible spelling mistake found.,
https://sheetal.net/Best-Packers-Movers.php,Surender,"Surrender, Su render",Possible spelling mistake found.,GPE
https://sheetal.net/Best-Packers-Movers.php,They,"Furthermore, they, Likewise, they, Not only that, but they",Three successive sentences begin with the same word. Consider rewording the sentence or use a thesaurus to find a synonym.,
https://sheetal.net/Best-Packers-Movers.php,house hold,household,The word “household” is normally spelled as one word.,
https://sheetal.net/Best-Packers-Movers.php,in best,in the best,A determiner may be missing.,
